Name,Price,Location,Rooms,Link
Mannequin House,£239,"5 Blackhorse Lane, Walthamstow, London",5,https://www.accommodationforstudents.com/student-hall/2968-mannequin-house-london
Venti House,£199,"8 Grove Crescent Road, Stratford, London",13,https://www.accommodationforstudents.com/student-hall/3882-venti-house-london
Grand Felda House,£239,"Empire Way, Wembley, London",9,https://www.accommodationforstudents.com/student-hall/2942-grand-felda-house-london
Scape Hammersmith,£530,"Talgarth Road, Hammersmith, London",4,https://www.accommodationforstudents.com/student-hall/3791-scape-hammersmith-london
Francis Gardner Studios,£411,"89-91 West End Lane, West Hampstead, London",4,https://www.accommodationforstudents.com/student-hall/3069-francis-gardner-studios-london
AXO Islington,£302,"556 Holloway Road, Islington, London",4,https://www.accommodationforstudents.com/student-hall/1737-axo-islington-london
Spring Mews,£549,"Tinworth Street, Vauxhall, London",2,https://www.accommodationforstudents.com/student-hall/1672-spring-mews-london
iQ Paris Gardens,£441,"6 Paris Garden, Southwark, London",15,https://www.accommodationforstudents.com/student-hall/535-iq-paris-gardens-london
Venue Studios,£399,"333-337 New Cross Road, Lewisham, London",2,https://www.accommodationforstudents.com/student-hall/3751-venue-studios-london
The Cube Greenwich,£325,"10 Denham Street, Greenwich, London",3,https://www.accommodationforstudents.com/student-hall/3022-the-cube-greenwich-london
Signal House,£385,"144 Kingston Road, Wimbledon, London",1,https://www.accommodationforstudents.com/student-hall/3905-signal-house-london
iQ Magenta House,£379,"Whitechapel Road, Spitalfields, London",6,https://www.accommodationforstudents.com/student-hall/480-iq-magenta-house-london
Therese House,£440,"29- 30 Glasshouse Yard, Barbican, London",4,https://www.accommodationforstudents.com/student-hall/360-therese-house-london
Sunlight Apartments,£259,"Sunlight Square, Bethnal Green, London",1,https://www.accommodationforstudents.com/student-hall/305-sunlight-apartments-london
The Collective Old Oak,£300,"Nash House, Old Oak Lane, Park Royal, London",3,https://www.accommodationforstudents.com/student-hall/3888-the-collective-old-oak-london
Goldsmiths House,£247,"Park Village East, Camden, London",NOT GIVEN,https://www.accommodationforstudents.com/student-hall/1631-goldsmiths-house-london
AXO Oxford Circus,£540,"2 Devonshire Street, Westminster, London",1,https://www.accommodationforstudents.com/student-hall/3041-axo-oxford-circus-london
ARK Canning Town,£320,"Hallsville Road, Canning Town, London",8,https://www.accommodationforstudents.com/student-hall/3915-ark-canning-town-london
Glassyard Building,£420,"7A Stockwell Green, Stockwell, London",1,https://www.accommodationforstudents.com/student-hall/562-glassyard-building-london
The Paragon,£263,"Boston Manor Road, Brentford, London",6,https://www.accommodationforstudents.com/student-hall/3914-the-paragon-london
Brooke Hall,£285,"17 Flodden Road, Lambeth, London",2,https://www.accommodationforstudents.com/student-hall/3859-brooke-hall-london
iQ Hoxton,£399,"67 Kingsland Road, Hoxton, London",12,https://www.accommodationforstudents.com/student-hall/403-iq-hoxton-london
Manna Ash House,£340,"8-16 Pocock Street, Southwark, London",2,https://www.accommodationforstudents.com/student-hall/3230-manna-ash-house-london
AXO Waterloo,£345,"2 Secker Street, Waterloo, London",5,https://www.accommodationforstudents.com/student-hall/3875-axo-waterloo-london
Charles Morton Court,£285,"37-43 Green Lanes, Newington Green, London",2,https://www.accommodationforstudents.com/student-hall/222-charles-morton-court-london
Canvas Arthur House,£379,"1 Rutherford Way, Wembley, London",3,https://www.accommodationforstudents.com/student-hall/3851-canvas-arthur-house-london
Gravity West Hampstead,£516,"Dennington Park Road, Hampstead, London",NOT GIVEN,https://www.accommodationforstudents.com/student-hall/3776-gravity-west-hampstead-london
Felda House,£227,"575 North End Road, Wembley, London",4,https://www.accommodationforstudents.com/student-hall/1822-felda-house-london
Aldgate,£258,"1-2 Education Sqaure, White Chapel, London",6,https://www.accommodationforstudents.com/student-hall/3095-aldgate-london
Grosvenor House,£700,"141-143 Drury Lane, Covent Garden, London",2,https://www.accommodationforstudents.com/student-hall/3975-grosvenor-house-london
AXO Camden,£438,"11-13 Bartholomew Road, Kentish Town, London",2,https://www.accommodationforstudents.com/student-hall/1738-axo-camden-london
iQ Highbury,£310,"201 Isledon Road, Finsbury Park, London",8,https://www.accommodationforstudents.com/student-hall/491-iq-highbury-london
iQ Haywood House,£369,"Blackburn Road, West Hampstead, London",5,https://www.accommodationforstudents.com/student-hall/3550-iq-haywood-house-london
Willen House,£449,"Bath Street, Islington, London",5,https://www.accommodationforstudents.com/student-hall/3961-willen-house-london
Griffon Studios,£389,"Winstanley Road, Battersea, London",3,https://www.accommodationforstudents.com/student-hall/439-griffon-studios-london
iQ Bloomsbury,£621,"200 Euston Road, Bloomsbury, London",11,https://www.accommodationforstudents.com/student-hall/1701-iq-bloomsbury-london
Scape Shoreditch,£634,"Works House, 45 Brunswick Place, Shoreditch, London",2,https://www.accommodationforstudents.com/student-hall/1794-scape-shoreditch-london
Ironworks House,£280,"164-196 Trundley’s Road, New Cross, London",6,https://www.accommodationforstudents.com/student-hall/3868-ironworks-house-london
Highbury II,£438,"295 Holloway Road, London",2,https://www.accommodationforstudents.com/student-hall/3246-highbury-ii-london
iQ Flinders House,£374,"Bear Point, 2 East Parkside, Greenwich, London",9,https://www.accommodationforstudents.com/student-hall/611-iq-flinders-house-london
Herbal Hill Studios,£415,"8 Herbal Hill, Finsbury, London",NOT GIVEN,https://www.accommodationforstudents.com/student-hall/3979-herbal-hill-studios-london
Coopers Court,£306,"10-14 Maplin Street, Mile End, London",1,https://www.accommodationforstudents.com/student-hall/3837-coopers-court-london
YourTRIBE South Bermondsey,£304,"349 Ilderton Road, Bermondsey, London",7,https://www.accommodationforstudents.com/student-hall/3736-yourtribe-south-bermondsey-london
iQ Aldgate,£359,"60 Commercial Road, Aldgate, London",10,https://www.accommodationforstudents.com/student-hall/1826-iq-aldgate-london
iQ Tufnell House,£309,"Station Road / Huddleston Road, Tufnell Park, London",9,https://www.accommodationforstudents.com/student-hall/319-iq-tufnell-house-london
Fusion Brent Cross Town,£332,"145 Claremont Road, Brent Cross, London",15,https://www.accommodationforstudents.com/student-hall/3796-fusion-brent-cross-town-london
View Studios,£477,"11-13 Spa Road, Bermondsey, London",1,https://www.accommodationforstudents.com/student-hall/3563-view-studios-london
urbanest Battersea,£339,"5 Palmerston Way, Battersea, London",1,https://www.accommodationforstudents.com/student-hall/3713-urbanest-battersea-london
The Valentine,£199,"27-37 Perth Road, Gants Hill, London",7,https://www.accommodationforstudents.com/student-hall/3410-the-valentine-london
Great Court,£320,"78 Rolls Road, Bermondsey, London",2,https://www.accommodationforstudents.com/student-hall/3520-great-court-london
Tower Bridge,£301,"52 Minories, Tower Hill, London",9,https://www.accommodationforstudents.com/student-hall/450-tower-bridge-london
Old Street,£317,"18 Paul Street, Shoreditch, London",5,https://www.accommodationforstudents.com/student-hall/3369-old-street-london
Lewisham,£287,"46 Thurston Road, Lewisham, London",3,https://www.accommodationforstudents.com/student-hall/2940-lewisham-london
Goodenough College,£259,"Mecklenburgh Square, Russell Square, London",16,https://www.accommodationforstudents.com/student-hall/279-goodenough-college-london
Scape Canada Water,£337,"1 Mulberry Walk,, City Centre, London",2,https://www.accommodationforstudents.com/student-hall/3879-scape-canada-water-london
Chapter London Bridge,£507,"40-46 Weston St, London Bridge, London",3,https://www.accommodationforstudents.com/student-hall/3855-chapter-london-bridge
Scape Wembley,£281,"Fulton Road, Wembley, London",4,https://www.accommodationforstudents.com/student-hall/3090-scape-wembley-london
Highbury,£383,"309 Holloway Road, London",8,https://www.accommodationforstudents.com/student-hall/1707-highbury-london
Scape Bloomsbury,£691,"Woburn Place, Camden, London",2,https://www.accommodationforstudents.com/student-hall/3155-scape-bloomsbury-london
Canvas Wembley Barnard Point,£249,"577 North End Road, Wembley, London",4,https://www.accommodationforstudents.com/student-hall/3403-canvas-wembley-barnard-point-london
Westminster Bridge Student Accommodation,£465,"203 Westminster Bridge Road, Westminster, London",5,https://www.accommodationforstudents.com/student-hall/1770-westminster-bridge-student-accommodation-london
iQ The Arcade,£239,"385 – 401 Holloway Road, Holloway, London",5,https://www.accommodationforstudents.com/student-hall/336-iq-the-arcade-london
Scape Mile End,£309,"25 Bradwell Street, Bethnal Green, London",3,https://www.accommodationforstudents.com/student-hall/3551-scape-mile-end-london
Chapter Ealing,£338,"Holbrook House, Victoria Road, Ealing, London",1,https://www.accommodationforstudents.com/student-hall/3632-chapter-ealing-london
The Altham,£416,"1 Blackhorse Lane, Walthamstow, London",2,https://www.accommodationforstudents.com/student-hall/3960-the-altham-london
iQ East Court,£390,"450 Mile End Road, Mile End, London",6,https://www.accommodationforstudents.com/student-hall/509-iq-east-court-london
Chapter Westminster,£509,"200A Lambeth Road, Westminster, London",1,https://www.accommodationforstudents.com/student-hall/3631-chapter-westminster-london
iQ Sterling Court,£249,"6 Lakeside Way, Wembley, London",7,https://www.accommodationforstudents.com/student-hall/1739-iq-sterling-court-london
iQ Shoreditch,£450,"East Road, Shoreditch, London",13,https://www.accommodationforstudents.com/student-hall/472-iq-shoreditch-london
Spitalfields,£447,"9 Frying Pan Alley, Spitalfields, White Chapel, London",5,https://www.accommodationforstudents.com/student-hall/354-spitalfields-london
AXO New Cross,£274,"403-407 New Cross Road, Lewisham, London",5,https://www.accommodationforstudents.com/student-hall/3042-axo-new-cross-london
Islington,£341,"32-34 Market Road, Islington, London",5,https://www.accommodationforstudents.com/student-hall/1706-islington-london
Dean House,£240,"New Cross Road, New Cross, London",2,https://www.accommodationforstudents.com/student-hall/3553-dean-house-london
Wood Lane Studios,£452,"80 Wood Lane, White City, London",3,https://www.accommodationforstudents.com/student-hall/499-wood-lane-studios-london
Element,£325,"78-89 Alscot Road, Bermondsey, London",7,https://www.accommodationforstudents.com/student-hall/3588-element-london
iQ Vega,£401,"6 Miles Street, Vauxhall, London",27,https://www.accommodationforstudents.com/student-hall/3717-iq-vega-london
The Curve,£360,"14 Fieldgate Street, Shoreditch, London",6,https://www.accommodationforstudents.com/student-hall/453-the-curve-london
Kings Cross,£429,"Canal Reach, King’s Cross, London",9,https://www.accommodationforstudents.com/student-hall/523-kings-cross-london
McMillan Student Village,£230,"Creek Road, Greenwich, London",5,https://www.accommodationforstudents.com/student-hall/93-mcmillan-student-village-london
iQ Hammersmith,£456,"230 Shepherds Bush Rd, Hammersmith, London",8,https://www.accommodationforstudents.com/student-hall/540-iq-hammersmith-london
YourTribe Deptford,£188,"82-84 Childers Street, Deptford, London",11,https://www.accommodationforstudents.com/student-hall/3849-yourtribe-deptford-london
Flora Building,£282,"11-13 Long Street, Hackney, London",5,https://www.accommodationforstudents.com/student-hall/3287-flora-building-london
iQ City,£411,"11 Bastwick Street, Finsbury, London",15,https://www.accommodationforstudents.com/student-hall/1684-iq-city-london
AXO Seven Sisters,£321,"2 Chestnut Road, Tottenham, London",4,https://www.accommodationforstudents.com/student-hall/3878-axo-seven-sisters-london
YourTRIBE Southwark,£299,"671 - 679 Old Kent Road, Peckham, London",7,https://www.accommodationforstudents.com/student-hall/3735-yourtribe-southwark-london
Smart Student Accommodation,£270,"3-5 Thane Villas, Holloway, London",9,https://www.accommodationforstudents.com/student-hall/1697-smart-student-accommodation-london
Eleanor Rosa House,£300,"Stratford High Street, Stratford, London",8,https://www.accommodationforstudents.com/student-hall/3323-eleanor-rosa-house-london
Press House,£199,"81-88 Beresford Street, Woolwich, London",15,https://www.accommodationforstudents.com/student-hall/3917-press-house-london
Creek Court,£225,"Creek Road, Greenwich, London",3,https://www.accommodationforstudents.com/student-hall/3641-creek-court-london
Kings Cross,£532,"200 Pentonville Road, King's Cross, London",3,https://www.accommodationforstudents.com/student-hall/242-kings-cross-london
Hoxton,£449,"100 East Road, North, Hoxton, London",1,https://www.accommodationforstudents.com/student-hall/306-hoxton-london
The Cube Ealing,£250,"11 Popes Lane, Ealing, London",6,https://www.accommodationforstudents.com/student-hall/3053-the-cube-ealing-london
The Alba,£515,"8 Mulberry Walk, Canada Water, London",3,https://www.accommodationforstudents.com/student-hall/3970-the-alba-london
Portobello,£305,"1 Alderson Street, Portobello, London",3,https://www.accommodationforstudents.com/student-hall/414-portobello-london
iQ Bankside,£499,"55 Ewer Street, Southbank, London",3,https://www.accommodationforstudents.com/student-hall/541-iq-bankside-london
Farndale Court,£208,"Greenwich, London",NOT GIVEN,https://www.accommodationforstudents.com/student-hall/1659-farndale-court-london
The Helix,£255,"North End Road, Wembley, London",11,https://www.accommodationforstudents.com/student-hall/407-the-helix-london
Canvas Walthamstow,£247,"Alliot House, Forest Road, Walthamstow, London",2,https://www.accommodationforstudents.com/student-hall/3406-canvas-walthamstow-london
Platt Hall and Writtle House,£169,"Chancellor Place, Colindale, London",NOT GIVEN,https://www.accommodationforstudents.com/student-hall/3976-platt-hall-and-writtle-house-london
Depot Point,£460,"15-27 Britannia Street, Camden, London",2,https://www.accommodationforstudents.com/student-hall/1662-depot-point-london
Wick Park,£359,"1 Stour Road, Hackney Wick, London",2,https://www.accommodationforstudents.com/student-hall/3627-wick-park-london
